WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
9,Vijayawada,Pod,2956,13,0.44%
9,Kochi,Sourcing,14867,21,0.14%
9,Salem,CX,1282,1,0.08%
9,Chennai,DP,44609,52,0.12%
9,Delhi,Pod,27539,217,0.79%
9,Tirupati,Pod,1901,19,1.00%
9,Hyderabad,WH,56962,44,0.08%
9,Jaipur,CX,3789,17,0.45%
9,Kanpur,CX,834,2,0.24%
9,Warangal,Sourcing,1310,2,0.15%
9,Aurangabad,Pod,433,2,0.46%
9,Raipur,CX,711,1,0.14%
9,Ambala,DP,362,1,0.28%
9,Jalandhar,DP,361,1,0.28%
9,Bangalore,CX,94485,253,0.27%
9,Chennai,CX,44609,155,0.35%
9,Nagpur,Sourcing,1131,1,0.09%
9,Vijayawada,CX,2956,4,0.14%
9,Meerut,Pod,388,3,0.77%
9,Bhilai,Pod,131,1,0.76%
9,Karnal,DP,174,1,0.57%
9,Mysore,DP,3476,3,0.09%
9,Salem,Pod,1282,5,0.39%
9,Tumakuru,Pod,590,2,0.34%
9,Lucknow,Pod,3248,12,0.37%
9,Madurai,CX,1397,4,0.29%
9,Anand,Pod,176,2,1.14%
9,Kannur,Pod,363,1,0.28%
9,Pune,Pod,27453,175,0.64%
9,Bhubaneswar,Pod,4266,15,0.35%
9,Kurnool,Sourcing,824,2,0.24%
9,Agra,Pod,403,2,0.50%
9,Vadodara,CX,1429,1,0.07%
9,Noida,WH,3496,4,0.11%
9,Karnal,CX,174,1,0.57%
9,Kurnool,WH,824,1,0.12%
9,Bhubaneswar,DP,4266,1,0.02%
9,Patna,Pod,2851,21,0.74%
9,Kochi,CX,14867,20,0.13%
9,Thiruvananthapuram,WH,7074,2,0.03%
9,Chandigarh,WH,7031,2,0.03%
9,Indore,Pod,2008,16,0.80%
9,Silchar,Pod,479,1,0.21%
9,Rudrapur,Sourcing,211,2,0.95%
9,Dehradun,CX,2013,7,0.35%
9,Khammam,Pod,849,6,0.71%
9,Gwalior,Sourcing,684,1,0.15%
9,Gurgaon,DP,14302,48,0.34%
9,Trichy,DP,1377,2,0.15%
9,Pondicherry,CX,1974,4,0.20%
9,Thanjavur,DP,834,1,0.12%
9,Gurgaon,Sourcing,14302,15,0.10%
9,Mumbai,Pod,59923,358,0.60%
9,Nanded,Pod,111,1,0.90%
9,Gurgaon,Pod,14302,123,0.86%
9,Ludhiana,DP,1470,5,0.34%
9,Nagpur,CX,1131,5,0.44%
9,Jamshedpur,CX,775,1,0.13%
9,Lonavla,CX,117,1,0.85%
9,Noida,DP,3496,6,0.17%
9,Madurai,Sourcing,1397,1,0.07%
9,Ahmedabad,WH,6909,1,0.01%
9,Kolkata,DP,17654,12,0.07%
9,Kakinada,DP,603,2,0.33%
9,Thiruvalla,WH,688,1,0.15%
9,Noida 1,Pod,9977,85,0.85%
9,Bhubaneswar,CX,4266,4,0.09%
9,Ujjain,DP,413,1,0.24%
9,Amritsar,Pod,524,3,0.57%
9,Dehradun,DP,2013,1,0.05%
9,Karimnagar,Sourcing,476,1,0.21%
9,Tirupur,Pod,904,1,0.11%
9,Kolkata,Sourcing,17654,41,0.23%
9,Ambala,WH,362,1,0.28%
