Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Sep 14 2026 00:00:00 GMT+0530 (India Standard Time),Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),Sat Sep 12 2026 00:00:00 GMT+0530 (India Standard Time),Fri Sep 11 2026 00:00:00 GMT+0530 (India Standard Time),Thu Sep 10 2026 00:00:00 GMT+0530 (India Standard Time),Wed Sep 09 2026 00:00:00 GMT+0530 (India Standard Time),Tue Sep 08 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Gurgaon,WH,Underweight (packing issue),0,0.0008748906386701663,0.000703276094473422,0.0004580552283732496,0.0004941932295527551,0.00041973976134796425,0.000308413520848754,Tier-1
,,,,,,,,,,,,,,Noida 1,CX,Customer perception / Wrong claim,0,0.004317393864067509,0.0069562403947261995,0.0028751623075496196,0.0030258493991527622,0.004175536269854265,0.005051341503809209,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Damage/Bruises,0,0.00654150585464774,0.011971204400226483,0.00621406047115563,0.007262038557966629,0.007777959718355985,0.008363696588274263,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Rotten/ Fungal,0,0.0000654150585464774,0.000161773032435493,0.0001854943424225561,0.0000864528399757932,0.0000818732601932209,0.00041404438555813183,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Internal Rotten,0,0.0014391312880225027,0.00323546064870986,0.001669449081803005,0.0018155096394916572,0.0013099721630915344,0.001573368665120901,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Taste / water content,0,0.0014391312880225027,0.002264822454096902,0.0011129660545353367,0.0010374340797095186,0.0013918454232847552,0.0009937065253395165,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Incorrect size (sourcing issue),0,0.000327075292732387,0.000161773032435493,0.0001854943424225561,0.00025935851992737964,0,0.00016561775422325274,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Overripe,0,0.0005887355269182966,0.001779503356790423,0,0.00025935851992737964,0.0005731128213525463,0.0005796621397813846,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Raw,0,0.0011120559952901158,0.00323546064870986,0.0003709886848451122,0.0010374340797095186,0.000736859341738988,0.0004968532626697582,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Shrivelled / Dry,0,0.0023549421076731864,0.002588368518967888,0.0010202188833240587,0.0006051698798305524,0.0006549860815457672,0.0008280887711162637,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Underweight (packing issue),0,0.0007195656440112514,0.000808865162177465,0.0004637358560563903,0.0000864528399757932,0.00040936630096610445,0.0003312355084465055,Tier-1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
B.7days trend (City vs spoc level),,,,,,,,,,,,,,,,,,,,,,,,
CITY,SPOC,Tue Sep 08 2026 00:00:00 GMT+0530 (India Standard Time),Wed Sep 09 2026 00:00:00 GMT+0530 (India Standard Time),Thu Sep 10 2026 00:00:00 GMT+0530 (India Standard Time),Fri Sep 11 2026 00:00:00 GMT+0530 (India Standard Time),Sat Sep 12 2026 00:00:00 GMT+0530 (India Standard Time),Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),Mon Sep 14 2026 00:00:00 GMT+0530 (India Standard Time),Avg,,,,,,,,,,,,,,,
Bangalore,CX,0.0027880037304275265,0.0027999116873733015,0.0028930485626116613,0.0031211717709720374,0.006861130714341724,0.005955891514723595,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,Pod,0.0020222843960143325,0.00162575517331353,0.0022061610091494775,0.0020381713271193963,0.003855302020439635,0.0030817792914399635,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,Sourcing,0.0007239974476022186,0.0007601910764104932,0.0005862229982134156,0.0007696404793608522,0.0013232180663373325,0.0006292312165136853,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,WH,0.0009473322534727335,0.0009533749473134898,0.0011216907584862758,0.0009587217043941412,0.0024994119030816277,0.0026664451551273,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
