Unique ID,DATE,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
8/13/2026-Karaikkudi-1092,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Karaikkudi,1092,Mint Leaves,2,,Shrivelled / Dry (2.00)
8/17/2026-Ahmedabad-3795,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Ahmedabad,3795,Ginger,4,,"External Rotten/ Fungal (1.00), External Damage/Bruises (1.00), Underweight (packing issue) (1.00), Customer perception / Wrong claim (1.00)"
8/13/2026-Hyderabad-7460,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Hyderabad,7460,Malabar Spinach (Basale),3,,External Damage/Bruises (3.00)
8/16/2026-Bangalore-785496,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Bangalore,785496,nectr Mint Leaves,3,,"Customer perception / Wrong claim (2.00), Shrivelled / Dry (1.00)"
8/18/2026-Agra-1041,Tue Aug 18 2026 00:00:00 GMT+0530 (India Standard Time),34,Agra,1041,Green Chilli,1,,Customer perception / Wrong claim (1.00)
8/16/2026-Chennai-993,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Chennai,993,Red Amaranthus,1,,External Damage/Bruises (1.00)
8/16/2026-Bangalore-1086,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Bangalore,1086,Lemon (Nimbu),7,,"External Rotten/ Fungal (6.00), Customer perception / Wrong claim (1.00)"
8/13/2026-Thrissur-990,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Thrissur,990,Green Amaranthus,1,,Shrivelled / Dry (1.00)
8/15/2026-Thiruvananthapuram-993,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Thiruvananthapuram,993,Red Amaranthus,1,,External Damage/Bruises (1.00)
8/15/2026-Kolkata-7475,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Kolkata,7475,Bok Choy,1,,Customer perception / Wrong claim (1.00)
